,tag,name,badgeId,trophies,rank,memberCount
186,#2QUC8YRPV,爪ꙙᷝϝꙵɪᷤƍⷽƽꙵꬾᷳꚃᷤ,8000055,1282240,187,28
187,#2JUVRQ9VJ,xBear II🐻,8000023,1279454,188,30
188,#2CYGQVQ8G,GodS Of SpaiN,8000023,1277296,189,30
189,#2RJJC9YC0,👑King's Club👑,8000029,1277026,190,30
190,#P9GYLQLU,LA Tikal,8000014,1276700,191,30
191,#2GYQQGGL0,LA Justice,8000014,1276633,192,30
192,#2J0U2CGQG,✨LOS ASTECAS✨,8000021,1274806,193,30
193,#29G89VG9Y,Anti shaudown,8000017,1274748,194,30
194,#2C8LCPJJY,BRAWL ESP,8000034,1274078,195,30
195,#YCVC99PL,pepeborracho129,8000049,1273935,196,30
196,#2JP0PUC,España,8000007,1273364,197,30
197,#2J0CV8V9L,TeamSinQueso,8000017,1272536,198,30
198,#2G9RC00VG,LOS CHANOS,8000015,1271957,199,29
199,#2PQ2LUYJ0,Antax Fire,8000007,1268993,200,30
