,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
64,64,#29R9Q0U0,♧~Miracle~♧,8000018,1316957,30,0.16713430403956342,1.0
65,65,#2CJ8CVJJC,FuriaDeChester,8000029,1315315,29,0.1650857654011555,0.8000000000000007
66,66,#2LRPLQLPJ,Infinity One,8000058,1314012,30,0.16346015891769294,1.0
67,67,#2LR9JGQG2,AK47-MX,8000029,1309584,30,0.15793584156637097,1.0
68,68,#2RU9VVQQ0,BARBA BLANCA🔱,8000021,1309154,30,0.15739937895095357,1.0
69,69,#2YJRVQRG8,Osos del Tigre,8000010,1305057,30,0.15228801305475526,1.0
70,70,#UGV8L9Q,<c9>RedArmy</c>,8000037,1303147,30,0.14990512097231967,1.0
71,71,#2CQ9GUR8Q,ᵀʰᵉᴹᵉˣᶦᶜᵃⁿ,8000013,1302222,30,0.14875110255543333,1.0
72,72,#29U8Q9JRP,King's Raid ✨,8000023,1301706,30,0.14810734741693254,1.0
73,73,#LJJPP9QV,<c7>EndGame</c>,8000018,1298890,30,0.14459414107968716,1.0
74,74,#2GVVYLQQR,⭐OP STARS⭐,8000018,1298876,30,0.14457667485499903,1.0
75,75,#2GGU8288P,NOVA I MEXICO,8000018,1297774,30,0.14320183345455728,1.0
76,76,#JCQP0CGJ,saltillo,8000009,1297303,30,0.1426142197525535,1.0
77,77,#2J8U0RC8P,MX|GÁNSTERS🇲🇽,8000041,1296723,28,0.14189061901547873,0.6000000000000005
78,78,#YUY900,LEGENDARY WAR,8000007,1295820,30,0.14076404752310223,1.0
79,79,#PU2LR2RU,Kings Academy,8000025,1292856,30,0.137066198239155,1.0
80,80,#2QGVQ29UV,ALKAEDAS MX,8000006,1292437,29,0.1365434590859924,0.8000000000000007
81,81,#PUYPCYCV,CHILE MX|™,8000049,1292416,30,0.13651725974896034,1.0
82,82,#2GYVYRPJP,Ghost Souls V,8000057,1287201,29,0.13001109105267683,0.8000000000000007
83,83,#2QV98LG29,<c6>MONSTER</c>,8000010,1286499,29,0.1291352846433209,0.8000000000000007
84,84,#2J2PGYRYL,THE PLAYERS,8000025,1285155,30,0.127458527073272,1.0
85,85,#2Y20LL0C8,LOS CRACKS BULL,8000041,1283862,30,0.12584539646458648,1.0
86,86,#290CUQ2Q2,<c4>Hawks™</c>✨,8000010,1282396,30,0.12401643322225642,1.0
87,87,#YRVCLJL0,◥RＥＮＥＧＡＤＯS◤,8000016,1281588,30,0.1230083825402628,1.0
88,88,#UPJGGR90,<c3>NOVA MX</c>,8000014,1280035,30,0.12107087918737136,1.0
89,89,#UQJ9JJGR,Team Pingü,8000055,1277606,30,0.11804048920400168,1.0
90,90,#GLRUULU,MÉXICO,8000013,1277325,30,0.11768991712276389,1.0
91,91,#Y2V8QL9,INVICTOS,8000034,1276349,30,0.11647227174451391,1.0
92,92,#22UPLR8CC,TeamMéxico,8000034,1275035,30,0.11483294179879655,1.0
93,93,#2QU9CJQU0,MX|STORM IMPERI,8000055,1274591,30,0.11427901295869103,1.0
94,94,#2QJVRQCU8,•𝕱𝖎𝖌𝖍𝖙🇲🇽,8000055,1273660,30,0.11311750901693851,1.0
95,95,#2CYG299VU,TEAM QLS🇲🇽,8000034,1271405,30,0.11030419925469115,1.0
96,96,#9C888YCJ,Over Power MX 2,8000007,1271392,30,0.11028798061748102,1.0
97,97,#2R8Y282Q2,Espartanos,8000029,1270860,30,0.10962426407933656,1.0
98,98,#29GQRUYG9,Lonely 💜s Club,8000025,1267276,30,0.10515291055920617,1.0
99,99,#QG2LY9QJ,Neo,8000007,1266565,30,0.10426587586255076,1.0
100,100,#2RGV9YRGL,The Spriggan,8000037,1266299,30,0.10393401759347864,1.0
101,101,#2C28CRPYL,Magic Gaming 🎱,8000010,1265164,30,0.10251800580627202,1.0
102,102,#29UCJQ8V0,los hormigas,8000007,1264106,30,0.10119805825484973,1.0
103,103,#2928CUVYC,SaquenmeDeCuba•,8000006,1262466,30,0.09915201479139713,1.0
104,104,#2QC8RG88U,Dark King Night,8000023,1261814,30,0.09833858775592685,1.0
105,105,#V2J8GQL9,los legendarios,8000053,1260306,30,0.09645722583953287,1.0
106,106,#288LYC2L0,super strong💪,8000049,1258923,30,0.09473181235785288,1.0
