tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#P92C29RRG,dqwed,0xffff8afb,28000167,1249,50,<c8>Inspire</c>,0.4899328859060401,0.24623115577889446
#9VU9R2LY,Terry!,0xffffffff,28000081,1249,51,✌️✌️✌️,0.4899328859060401,0.25125628140703515
#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1249,52,CONEXIÓN,0.4899328859060401,0.2562814070351759
#V888YPGU,IME|Minepro,0xfff9c908,28000164,1249,53,Invincible,0.4899328859060401,0.26130653266331655
#UG2JJ89,Redziin🫀,0xfff05637,28000272,1249,54,Ghost Team👻☔,0.4899328859060401,0.2663316582914573
#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1249,55,Quant ESports🐾,0.4899328859060401,0.271356783919598
#P8UGQ0882,Minterrr🪄,0xffffffff,28000102,1249,56,оупи челики,0.4899328859060401,0.27638190954773867
#29JJ8LLQ,DM ✯,0xffffffff,28000198,1249,57,ChasmacGaming,0.4899328859060401,0.2814070351758794
#29UR00VP,あやとたたん🍒,0xff4ddba2,28000093,1249,58,TMG,0.4899328859060401,0.28643216080402006
#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1249,59,no-team-info,0.4899328859060401,0.2914572864321608
#2YPC2LL02,RV|kakawo,0xfff9c908,28000300,1249,60,RV,0.4899328859060401,0.2964824120603015
#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1249,61,LA Instinct,0.4899328859060401,0.3015075376884422
#QLCJGQUP,BOH|Diego💚Wolf,0xff4ddba2,28000320,1249,62,7 Dwarves,0.4899328859060401,0.3065326633165829
#2CYUCRCPC,もちどっぐ🐶🩶,0xfff9775d,28000285,1249,63,ホネルトンズ,0.4899328859060401,0.3115577889447236
#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,64,No Mercy,0.4899328859060401,0.3165829145728643
#Y22RU8YQ2,Seis,0xffcb5aff,28000159,1249,65,Brawl King's,0.4899328859060401,0.32160804020100503
#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1243,66,NHY E-SporTS,0.46979865771812035,0.3266331658291457
#JV29L0LV,FaZzen,0xffcb5aff,28000327,1229,67,Ghost Team👻☔,0.42281879194630845,0.3316582914572864
#RL02R0GR,Alche❤️Perse,0xffffce89,28000187,1223,68,Emi's bar 🍻,0.40268456375838957,0.3366834170854271
#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1221,69,A Few Good Men,0.3959731543624163,0.3417085427135678
#2LG8QJ9L,Fade,0xffffffff,28000013,1217,70,STMN Esports,0.3825503355704698,0.34673366834170855
#2R9JQ0C8G,Xionsᶫᵒᵛᵉᵧₒᵤ,0xffa8e132,28000018,1207,71,Zoológico NA,0.3489932885906044,0.3517587939698492
#J8UQ2UUG,SEKAI NO SHOUPI,0xffa8e132,28000140,1206,72,Cipher Pol,0.34563758389261734,0.35678391959798994
#99LLQYY9,Joeh,0xfff9c908,28000335,1205,73,👋 🤷‍♂️,0.34228187919463116,0.3618090452261306
#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1204,74,no-team-info,0.3389261744966441,0.36683417085427134
#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,75,No Mercy,0.3355704697986579,0.37185929648241206
#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,76,Deadly Vipers🐍,0.3355704697986579,0.37688442211055273
#U9GC8G02,CMG | R B M,0xffffffff,28000058,1203,77,ChasmacGaming,0.3355704697986579,0.38190954773869346
#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1203,78,no-team-info,0.3355704697986579,0.3869346733668342
