,tag,name,badgeId,trophies,rank,memberCount
122,#29YUVC2LQ,Loco Pushers,8000055,1733802,123,30
123,#2CRJQ8J02,ETERNAL TOPS 🏅,8000029,1733762,124,30
124,#2JR88LRUG,Wild Heartz💔,8000037,1733100,125,30
125,#2QCQCUJUP,<c6>Axolotl</c>,8000041,1732907,126,30
126,#2JJ22G9RR,TL|Team Luzou,8000007,1732442,127,30
127,#2JR99YGP2,we love rabbits,8000016,1731435,128,30
128,#29CLYQLCU,TOXIC HEROES,8000055,1731291,129,30
129,#L9Q09LGC,Vikings VI,8000021,1729374,130,30
130,#2G28CCVR9,16-14|Esport🏓,8000023,1729160,131,29
131,#2QVLUVUVR,ラーメン好きなルー🍜,8000057,1727757,132,30
132,#2C8V9JVYQ,Brawl Kings Br,8000029,1727069,133,30
133,#VG8PVU22,LEGION🎴LEGEND,8000023,1725679,134,30
134,#2CJLYUUCV,めろんぱん食堂,8000013,1725186,135,30
135,#2GC8LVJ8C,天路引歸🐙,8000059,1724919,136,30
136,#UJCQVJV,BS Immortals,8000010,1724235,137,30
137,#2GCULC99C,House Greyjoy,8000025,1723785,138,30
138,#2029CLRYV,Brawl Imperium2,8000023,1722588,139,30
139,#2G8JU2JU2,Røckstars,8000006,1722338,140,28
140,#220QURYQ,i bomber,8000033,1721796,141,30
141,#2RUUR2GJV,Slorien,8000007,1721267,142,30
142,#2YVPQR8L8,Ale’s friends,8000021,1721266,143,29
143,#2YU802CCP,Little Italy,8000029,1720123,144,30
144,#JYCQ8G8Y,Ukrainian Elite,8000006,1719407,145,30
145,#2JQRYQR8G,Team🖤,8000023,1719047,146,29
146,#2C8RVUL2V,SNKㅣFamily,8000037,1718836,147,30
147,#80QPR8CV,Scots,8000008,1718792,148,29
148,#2GGQYYLLU,Mystic MidEast,8000055,1718452,149,30
149,#2RJVR20LU,★Art of War★,8000036,1716827,150,30
150,#29CLQG2JG,Die Tafelrunde,8000023,1716604,151,29
151,#GJG20RJP,House Tully,8000021,1715756,152,30
152,#2P2GVCYP9,⛩sombre 桜,8000037,1715269,153,30
153,#2RCRQ2PUQ,QDR 🤷‍♂️SAPE🤷,8000012,1715212,154,30
154,#2GQURGRJ0,LA Temis,8000052,1714647,155,29
155,#QRU9C9GG,🌴|<c3>HM</c>,8000013,1714361,156,30
156,#2JGRGRYLL,SY Origin II,8000003,1713713,157,30
157,#2G98J0QRC,Fora da Curva®,8000014,1711910,158,30
158,#CL8GU,Pitagyro,8000000,1711462,159,29
159,#9RVJ9JG0,Dragon Chileno,8000037,1711338,160,30
160,#CPVPVL09,DrachenLegion,8000057,1711251,161,30
161,#298LQ0RGC,Dr eSports,8000023,1710324,162,30
162,#VCG28LV,LUXEMBURG,8000029,1709612,163,30
163,#2R092CCRY,Dad Bods 2.0,8000011,1708505,164,30
164,#2JLU9L9P8,XP|REALM,8000027,1708450,165,30
165,#2Q8GUG9PJ,TheBrawlingKiwi,8000011,1708347,166,30
166,#2CJLYLP2R,ChuckNorris,8000029,1708141,167,30
167,#29URVJURG,Demise 🥀,8000037,1707520,168,30
168,#2GGRJGCL0,SMUC,8000035,1706780,169,30
169,#2CRLPLVRQ,The Real World,8000023,1706702,170,30
170,#2GGLC22C0,NO RISKnoFun PL,8000029,1706482,171,30
171,#VRV99L0Q,Spaghetti House,8000041,1706276,172,30
